date,tweet,kasus_baru,clean_tweet
2021-12-05,Bhabinkamtibmas Kudu Aiptu Karyadi Kegiatan Sambang dan PPKM Mikro Himbau Warga jaga Kamtibmas dan Patuhi Protokol,196,bhabinkamtibmas kudu aiptu karyadi kegiatan sambang ppkm mikro himbau warga jaga kamtibmas patuhi protokol
2021-12-05,Bukanya ppkm mending diem di rmh yah ini malah sklh Lagian jg libur tuh gk selalu bakal pergi ke wisata,196,bukanya ppkm mending diem rmh yah sklh juga libur tuh tidak pergi wisata
2021-12-05,Pada ngamuk karena harus liburan sebelum ppkm naik lagi levelnya,196,ngamuk liburan ppkm levelnya
2021-12-05,Tahun baruan onok ppkm ppkn ppp pknu penjaskes pkb pks,196,baruan onok ppkm ppkn ppp pknu penjaskes pkb pks
2021-12-05,wijaya Yg bulan lalu ud cb beraneka tengkleng macem soto gudeg pake bubur Cpt pulkam sblm ppkm lhooo,196,wijaya yang sudah cb beraneka tengkleng macem soto gudeg memakai bubur cpt pulkam sblm ppkm lhooo
2021-12-05,Wisdom Masih Datang Meski PPKM PHRI Badung Prediksi Kunjungan per Hari bali,196,wisdom ppkm phri badung prediksi kunjungan bali
2021-12-05,Dalam pelaksanaan leveling Pemberlakuan Pembatasan Kegiatan Masyarakat PPKM di sejumlah daerah Pemerintah terus,196,pelaksanaan leveling pemberlakuan pembatasan kegiatan masyarakat ppkm daerah pemerintah
2021-12-05,PPKM kan coba di oihat lagi tglnya,196,ppkm coba oihat tglnya
2021-12-05,Mudah Menang Bermain amp Mudah Mendapatkan JACKPOT Langsung Saja Di Add Contact WA Salam Suk,196,mudah menang bermain sampai mudah jackpot langsung add contact wali kota salam suk
2021-12-05,Ini Penyesuaian Jam Operasional Layanan Transjakarta di Masa PPKM Level,196,penyesuaian jam operasional layanan transjakarta ppkm level
2021-12-05,Anggota Polsek Kawasan Pelabuhan Dwikora yang tergabung dalam SATGAS KRYD PPKM COVID POLRESTA PONTIANAK KOTA me,196,anggota polsek kawasan pelabuhan dwikora tergabung satgas kryd ppkm covid polresta pontianak kota pasti
2021-12-05,Temen w di us Damai damai aja perasaaan no mask Disini ngebet ppkm level mulu,196,temen saya us damai damai saja perasaaan no mask ngebet ppkm level mulu
2021-12-06,Squad PPKM kata upi kah,130,squad ppkm upi kah
2021-12-06,Boleh wisata tapi nggak boleh cuti,130,wisata tidak cuti
2021-12-06,Catat Tanggalnya hulondaloid Covid PPKM KotaGorontalo,130,catat tanggalnya hulondaloid covid ppkm kotagorontalo
2021-12-06,Baca Gaes Pemerintah Batal Terapkan PPKM Level di Seluruh Indonesia Saat Nataru Simak Aturan Terbaru,130,baca gaes pemerintah batal terapkan ppkm level indonesia nataru simak aturan terbaru
2021-12-06,yahhhgak jd ppkm please aman,130,yahhhgak jadi ppkm please aman
2021-12-06,Aduh sampai kaya gitu ya Kalau mall kaya gitu normal atau masih di batasi Kalo di sini kan mulai ppkm lagi katanya,130,aduh seperti gitu iya mall seperti gitu normal batasi kalau ppkm
2021-12-06,Patuhi aturan PPKM Ingat ada sanksi berat bagi pelanggar,130,patuhi aturan ppkm sanksi berat pelanggar
2021-12-06,Isuk mimpi ppkm wes ra ono tapi ganti jeneng,130,isuk mimpi ppkm wes marah ono ganti anda
2021-12-06,Pemerintah menerapkan kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat atau PPKM Level selama libur Natal da,130,pemerintah menerapkan kebijakan pemberlakuan pembatasan kegiatan masyarakat ppkm level libur natal sudah
2021-12-06,Dukung PPKM,130,dukung ppkm
2021-12-06,lung Dukung PPKM,130,tolong dukung ppkm
2021-12-06,rizky Dukung PPKM,130,rizky dukung ppkm
2021-12-06,Pemerintah memutuskan untuk tidak akan menerapkan aturan pemberlakuan pembatasan kegiatan masyarakat PPKM Level,130,pemerintah memutuskan menerapkan aturan pemberlakuan pembatasan kegiatan masyarakat ppkm level
2021-12-06,Meski dilakukan pengetatan mobilitas pemerintah masih memberikan kelonggaran terutama untuk masyarakat yang sudah,130,pengetatan mobilitas pemerintah kelonggaran masyarakat
2021-12-06,Tak bisa diganggu guat pemerintah resmi larang mudik Nataru,130,diganggu guat pemerintah resmi larang mudik nataru
2021-12-06,Pemerintah Batal Terapkan PPKM Level untuk Semua Wilayah RI,130,pemerintah batal terapkan ppkm level wilayah ri
2021-12-06,Pemerintah Batal Terapkan PPKM Level untuk Semua Wilayah RI,130,pemerintah batal terapkan ppkm level wilayah ri
